year,Ne_2.5%,Ne_meidan,Ne_97.5%,growth_rate
1861.287599436,5.31772247735683,12.8797579635275,41.7611673934283,0.594388466379177
1864.608260672,18.1909576821454,36.5642647380468,84.5366418574929,0.300409964471617
1867.9289219080001,21.6379414257508,69.9719418274892,195.266314885843,0.167279305701778
1871.249583144,37.6441936032673,100.198351528104,302.857058002554,0.161969762337961
1874.57024438,68.5400233916431,147.344010111286,371.757515637987,0.26286780715298
1877.890905616,82.2727720976521,266.667215238541,759.554611486749,0.240760747616648
1881.211566852,151.953275122866,405.104664591047,1419.48196989872,0.104542094958326
1884.532228088,109.320795806497,514.853470035755,2744.55496615898,0.0473451488280986
1887.852889324,161.284318013136,551.565461601243,2258.70263217862,0.0478022390050569
1891.17355056,195.635031691802,583.137033809905,2182.05449981744,0.325691799799946
1894.494211796,397.412041930921,1107.3676809725,4454.74865558679,0.0588577074930932
1897.814873032,120.566539978589,1272.09020354009,7751.26186086031,-0.0314370260247747
1901.135534268,99.4480435039673,935.898700867852,9805.14719096488,-0.122524527116488
1904.456195504,111.233157153564,426.830750966192,3443.65234433297,-0.220144415728036
1907.77685674,66.0888687052401,113.900189302992,219.166557562794,0.320208583208641
1911.097517976,154.378519555239,236.46701690986,377.43686401771,0.241919240586142
1914.418179212,261.642189609157,416.822012375619,736.825021822509,0.184576648180252
1917.738840448,355.616632157039,669.125794742484,1334.19550405422,0.0527942684256088
1921.059501684,447.039319621024,753.16429768499,1456.53179856474,0.223006813620599
1924.38016292,780.545005483378,1291.9622420239,2401.68555810967,-0.0716279355468063
1927.700824156,606.123335986771,983.330028633987,1768.00980270808,0.0556851126700991
1931.021485392,657.209447843363,1171.25157629362,2195.00005172115,-0.170000822827624
1934.342146628,358.420111882076,505.004805995612,716.576668119758,0.377959738617206
1937.6628078640001,840.595581214031,1147.31511663123,1589.51518343414,0.277039504814362
1940.9834691,1484.45660672625,2180.63599179235,3243.50289275332,-0.0331495880686913
1944.304130336,1410.91354364981,1957.64245473863,2800.10506929242,0.260218140835639
1947.624791572,2485.56243412419,3601.91769506571,5148.505256442,-0.104414808380485
1950.945452808,1718.98232805132,2358.24864145503,3237.64297558898,0.233512339717653
1954.266114044,3025.01597278209,4201.78098350249,5938.74787270466,-0.105115353739823
1957.58677528,2196.58580914457,2726.33912963628,3543.08523972604,0.222853166226241
1960.907436516,3685.12585280111,4714.51410596719,6191.57871967207,-0.0650821394882949
1964.228097752,2987.28551056411,3714.46376152434,4605.26616447437,0.219665695434845
1967.548758988,5138.20366056691,6372.48733296766,8064.96631425316,0.0267664682111415
1970.869420224,5672.94623085144,6931.27117563505,8454.06378218962,0.043797800636193
1974.19008146,6659.46460685943,8003.09458054977,9798.15756909693,0.0508076025510409
1977.510742696,7745.93672123498,9312.4812636798,11367.209119098,0.215192381598888
1980.831403932,12934.8754505452,16080.4923286768,20234.0248265446,0.126497977408141
1984.152065168,18381.6854700811,22675.3422267003,29273.9571389438,0.075523115333056
1987.472726404,22650.3033632117,28636.6158686223,37274.1934438762,0.0012921084725837
1990.79338764,23131.1239510789,28738.2268524737,36192.1734620228,0.23403544424184
1994.114048876,38858.0386116946,51042.9054818876,65917.7913192025,0.0591264046969454
1997.434710112,45170.0592574967,61379.8734942345,84166.3982435472,0.152071988525848
2000.755371348,65036.3947836012,91568.9230118909,136492.849808684,-0.0084509253638481
2004.076032584,62951.783481549,89078.0910895244,132553.789059444,-0.154414662745959
2007.39669382,33793.4794441157,43188.0955643316,55591.6358266641,-0.0511637215756645
2010.717355056,29036.7405035861,36114.0163275271,45623.9338435753,-0.109347380023085
2014.038016292,19556.7808892763,23049.0969142647,28074.6366361231,-0.000683249360776
2017.358677528,18579.5767245437,22989.1196463537,29751.1413595387,-0.195021523346945
2020.679338764,6674.06727560036,8097.84619524265,9939.36204793444,-0.271289566513038
2024.0,637.92270206338,802.410071122136,1074.99181058407,0.0
